Date,XIU,XBB,COW,XRE
2011-06-07,19.489796,29.99,23.421633,14.73031
2011-06-08,19.438776,30.03,23.07947,14.56019
2011-06-09,19.489796,29.98,23.34437,14.60022
2011-06-10,19.265306,30.02,23.101545,14.63024
2011-06-13,19.142857,30.03,22.891832,14.63024
2011-06-14,19.316326,29.97,23.178808,14.81037
2011-06-15,19.142857,30.15,22.847683,14.69028
2011-06-16,19.020409,30.22,22.626932,14.66026
2011-06-17,18.938776,30.17,22.395145,14.83038
2011-06-20,18.989796,30.14,22.615894,14.91044
2011-06-21,19.275511,30.1,23.145695,14.94046
2011-06-22,19.224489,30.14,23.07947,14.88042
2011-06-23,19.091837,30.23,22.924946,14.8504
2011-06-24,18.867348,30.25,23.112583,14.87041
2011-06-27,19.010204,30.19,23.211922,14.98049
2011-06-28,19.244898,30.05,23.476822,14.95047
2011-06-29,19.367348,29.84,23.75276,14.93045
2011-06-30,19.5,29.8,23.675497,14.96047
2011-07-04,19.683674,29.86,24.238409,14.96047
2011-07-05,19.642857,29.95,24.039736,14.99049
2011-07-06,19.602041,29.99,24.083885,14.99049
2011-07-07,19.602041,29.98,24.006622,15.03052
2011-07-08,19.581633,30.11,24.128036,15.0005
2011-07-11,19.336735,30.28,23.664459,14.92044
2011-07-12,19.346939,30.25,23.675497,15.01051
2011-07-13,19.469387,30.26,23.841061,14.93045
2011-07-14,19.357143,30.22,23.587198,14.91044
2011-07-15,19.459183,30.23,23.57616,14.95047
2011-07-18,19.316326,30.31,23.366446,14.96047
2011-07-19,19.438776,30.27,23.57616,15.08056
2011-07-20,19.438776,30.2,23.642384,15.11058
2011-07-21,19.62245,30.13,23.973509,15.20064
2011-07-22,19.704082,30.14,24.06181,15.26068
2011-07-25,19.602041,30.14,24.205297,15.24067
2011-07-26,19.346939,30.17,23.951435,15.16061
2011-07-27,18.94898,30.2,23.554085,14.97048
2011-07-28,18.938776,30.21,23.520971,14.92044
2011-07-29,18.785715,30.35,23.498898,14.97048
2011-08-02,18.469387,30.61,22.90287,14.77034
2011-08-03,18.571428,30.58,23.002207,14.60022
2011-08-04,18,30.9,21.854303,14.31002
