Date,GSPC,IXIC,DJI
2003-08-13,984.030029000000,1686.609985000000,9271.759766000000
2003-08-14,990.510010000000,1700.339966000000,9310.559570000000
2003-08-15,990.669983000000,1702.010010000000,9321.690430000000
2003-08-18,999.739990000000,1739.489990000000,9412.450195000000
2003-08-19,1002.349976000000,1761.109985000000,9428.900391000000
2003-08-20,1000.299988000000,1760.540039000000,9397.509766000000
2003-08-21,1003.270020000000,1777.550049000000,9423.679688000000
2003-08-22,993.059998000000,1765.319946000000,9348.870117000000
2003-08-25,993.710022000000,1764.310059000000,9317.639648000000
2003-08-26,996.729980000000,1770.650024000000,9340.450195000000
2003-08-27,996.789978000000,1782.130005000000,9333.790039000000
2003-08-28,1002.840027000000,1800.180054000000,9374.209961000000
2003-08-29,1008.010010000000,1810.449951000000,9415.820313000000
2003-09-02,1021.989990000000,1841.479980000000,9523.269531000000
2003-09-03,1026.270020000000,1852.900024000000,9568.459961000000
2003-09-04,1027.969971000000,1868.969971000000,9587.900391000000
2003-09-05,1021.390015000000,1858.239990000000,9503.339844000000
2003-09-08,1031.640015000000,1888.619995000000,9586.290039000000
2003-09-09,1023.169983000000,1873.430054000000,9507.200195000000
2003-09-10,1010.919983000000,1823.810059000000,9420.459961000000
2003-09-11,1016.419983000000,1846.089966000000,9459.759766000000
2003-09-12,1018.630005000000,1855.030029000000,9471.549805000000
2003-09-15,1014.809998000000,1845.699951000000,9448.809570000000
2003-09-16,1029.319946000000,1887.250000000000,9567.339844000000
2003-09-17,1025.969971000000,1883.099976000000,9545.650391000000
2003-09-18,1039.579956000000,1909.550049000000,9659.129883000000
2003-09-19,1036.300049000000,1905.699951000000,9644.820313000000
2003-09-22,1022.820007000000,1874.619995000000,9535.410156000000
2003-09-23,1029.030029000000,1901.719971000000,9576.040039000000
2003-09-24,1009.380005000000,1843.699951000000,9425.509766000000
2003-09-25,1003.270020000000,1817.239990000000,9343.959961000000
2003-09-26,996.849976000000,1792.069946000000,9313.080078000000
2003-09-29,1006.580017000000,1824.560059000000,9380.240234000000
2003-09-30,995.969971000000,1786.939941000000,9275.059570000000
2003-10-01,1018.219971000000,1832.250000000000,9469.200195000000
2003-10-02,1020.239990000000,1836.219971000000,9487.799805000000
2003-10-03,1029.849976000000,1880.569946000000,9572.309570000000
2003-10-06,1034.349976000000,1893.459961000000,9594.980469000000
2003-10-07,1039.250000000000,1907.849976000000,9654.610352000000
2003-10-08,1033.780029000000,1893.780029000000,9630.900391000000
2003-10-09,1038.729980000000,1911.900024000000,9680.009766000000
2003-10-10,1038.060059000000,1915.310059000000,9674.679688000000
2003-10-13,1045.349976000000,1933.530029000000,9764.379883000000
2003-10-14,1049.479980000000,1943.189941000000,9812.980469000000
2003-10-15,1046.760010000000,1939.099976000000,9803.049805000000
2003-10-16,1050.069946000000,1950.140015000000,9791.719727000000
2003-10-17,1039.319946000000,1912.359985000000,9721.790039000000
2003-10-20,1044.680054000000,1925.140015000000,9777.940430000000
2003-10-21,1046.030029000000,1940.900024000000,9747.639648000000
2003-10-22,1030.359985000000,1898.069946000000,9598.240234000000
2003-10-23,1033.770020000000,1885.510010000000,9613.129883000000
2003-10-24,1028.910034000000,1865.589966000000,9582.459961000000
2003-10-27,1031.130005000000,1882.910034000000,9608.160156000000
2003-10-28,1046.790039000000,1932.260010000000,9748.309570000000
2003-10-29,1048.109985000000,1936.560059000000,9774.530273000000
2003-10-30,1046.939941000000,1932.689941000000,9786.610352000000
2003-10-31,1050.709961000000,1932.209961000000,9801.120117000000
2003-11-03,1059.020020000000,1967.699951000000,9858.459961000000
2003-11-04,1053.250000000000,1957.969971000000,9838.830078000000
2003-11-05,1051.810059000000,1959.369995000000,9820.830078000000
2003-11-06,1058.050049000000,1976.369995000000,9856.969727000000
2003-11-07,1053.209961000000,1970.739990000000,9809.790039000000
2003-11-10,1047.109985000000,1941.640015000000,9756.530273000000
2003-11-11,1046.569946000000,1930.750000000000,9737.790039000000
2003-11-12,1058.530029000000,1973.109985000000,9848.830078000000
2003-11-13,1058.410034000000,1967.349976000000,9837.940430000000
2003-11-14,1050.349976000000,1930.260010000000,9768.679688000000
2003-11-17,1043.630005000000,1909.609985000000,9710.830078000000
2003-11-18,1034.150024000000,1881.750000000000,9624.160156000000
2003-11-19,1042.439941000000,1899.650024000000,9690.459961000000
2003-11-20,1033.650024000000,1881.920044000000,9619.419922000000
2003-11-21,1035.280029000000,1893.880005000000,9628.530273000000
2003-11-24,1052.079956000000,1947.140015000000,9747.790039000000
2003-11-25,1053.890015000000,1943.040039000000,9763.940430000000
2003-11-26,1058.449951000000,1953.310059000000,9779.570313000000
2003-11-28,1058.199951000000,1960.260010000000,9782.459961000000
2003-12-01,1070.119995000000,1989.819946000000,9899.049805000000
2003-12-02,1066.619995000000,1980.069946000000,9853.639648000000
2003-12-03,1064.729980000000,1960.250000000000,9873.419922000000
2003-12-04,1069.719971000000,1968.800049000000,9930.820313000000
2003-12-05,1061.500000000000,1937.819946000000,9862.679688000000
2003-12-08,1069.300049000000,1948.849976000000,9965.269531000000
2003-12-09,1060.180054000000,1908.319946000000,9923.419922000000
2003-12-10,1059.050049000000,1904.650024000000,9921.860352000000
2003-12-11,1071.209961000000,1942.319946000000,10008.160156000000
2003-12-12,1074.140015000000,1949.000000000000,10042.160156000000
2003-12-15,1068.040039000000,1918.260010000000,10022.820313000000
2003-12-16,1075.130005000000,1924.290039000000,10129.559570000000
2003-12-17,1076.479980000000,1921.329956000000,10145.259766000000
2003-12-18,1089.180054000000,1956.180054000000,10248.080078000000
2003-12-19,1088.660034000000,1951.020020000000,10278.219727000000
2003-12-22,1092.939941000000,1955.800049000000,10338.000000000000
2003-12-23,1096.020020000000,1974.780029000000,10341.259766000000
2003-12-24,1094.040039000000,1969.229980000000,10305.190430000000
2003-12-26,1095.890015000000,1973.140015000000,10324.669922000000
2003-12-29,1109.479980000000,2006.479980000000,10450.000000000000
2003-12-30,1109.640015000000,2009.880005000000,10425.040039000000
2003-12-31,1111.920044000000,2003.369995000000,10453.919922000000
2004-01-02,1108.479980000000,2006.680054000000,10409.849609000000
2004-01-05,1122.219971000000,2047.359985000000,10544.070313000000
2004-01-06,1123.670044000000,2057.370117000000,10538.660156000000
2004-01-07,1126.329956000000,2077.679932000000,10529.030273000000
